LV_NUMMER;LV_TITEL;LV_SEMESTER;DATUM;ANZ_TEILNEHMER
EI7259;Praktikum Halbleiterbauelemente der Hochleistungselektronik;15S;25/09/2015;19
EI7259;Praktikum Halbleiterbauelemente der Hochleistungselektronik;15W;22/03/2016;17
EI7260;Dynamic Human Robot Interaction;15W;05/02/2016;36
EI7262;Embedded Control Systems;15W;03/02/2016;67
EI7263;Biologically-Inspired Learning for Humanoid Robots;15S;09/07/2015;8
EI7265;Projektpraktikum Energiewirtschaft und Anwendungstechnik;15S;08/07/2015;21
EI7265;Projektpraktikum Energiewirtschaft und Anwendungstechnik;15W;08/03/2016;8
EI7266;Nonconvex Optimization for Analyzing Big Data;15S;14/07/2015;13
EI7267;Nanotechnology for Energy Systems;15S;01/07/2015;111
EI7267;Nanotechnology for Energy Systems;15W;23/03/2016;1
EI7268;Project Laboratory Computational Neuro Engineering;15S;14/07/2015;18
EI7268;Project Laboratory Computational Neuro Engineering;15W;27/01/2016;5
EI7269;Neural Engineering: Implants, Interfaces and Algorithms;15S;16/07/2015;39
EI7270;Elektromagnetische Felder in der Biomedizin und in medizinischen Anwendungen der Nanotechnik;15S;07/08/2015;22
EI7270;Elektromagnetische Felder in der Biomedizin und in medizinischen Anwendungen der Nanotechnik;15W;31/03/2016;1
EI7271;Chip Multicore Processors;15S;27/07/2015;83
EI7271;Chip Multicore Processors;15W;07/03/2016;6
EI7272;Molecular Electronics;15S;17/07/2015;34
EI7272;Molecular Electronics;15W;24/03/2016;2
EI7273;Praktikum Simulation and Characterization of Organic Devices;15S;12/06/2015;13
EI7273;Praktikum Simulation and Characterization of Organic Devices;15W;04/12/2015;15
EI7274;Praktikum Design and Simulation of Nanodevices;15S;23/07/2015;5
EI7274;Praktikum Design and Simulation of Nanodevices;15W;22/02/2016;5
EI7276;Projektpraktikum Entwurf von Power-Management-Schaltungen;15S;17/07/2015;2
EI7276;Projektpraktikum Entwurf von Power-Management-Schaltungen;15W;05/02/2016;3
EI7301;Abtasttheorie und Frames;15W;19/02/2016;7
EI7303;Advanced Control and Robotics Lab;15S;12/08/2015;32
EI7307;Allgemeine und biomedizinische Elektrochemie für Ingenieure;15S;16/07/2015;24
EI7307;Allgemeine und biomedizinische Elektrochemie für Ingenieure;15W;04/02/2016;13
EI7308;Antennas and Wave Propagation;15S;07/08/2015;47
EI7308;Antennas and Wave Propagation;15W;29/02/2016;4
EI7309;Batteriespeicher;15S;16/09/2015;46
EI7309;Batteriespeicher;15W;17/02/2016;225
EI7310;Batteriesystemtechnik;15S;20/07/2015;248
EI7310;Batteriesystemtechnik;15W;09/03/2016;28
EI7311;Bauelemente der Halbleiterelektronik;15S;22/09/2015;4
EI7311;Bauelemente der Halbleiterelektronik;15W;12/02/2016;23
EI7312;Bewegungssteuerung durch geregelte elektrische Antriebe;15S;14/09/2015;11
EI7312;Bewegungssteuerung durch geregelte elektrische Antriebe;15W;12/02/2016;69
EI7313;Body Sensor Networks Laboratory;15W;04/02/2016;12
EI7314;Brain, Mind and Cognition (Seminar);15S;01/04/2015;1
EI7314;Brain, Mind and Cognition (Seminar);15W;01/03/2016;63
EI7315;Broadband Communication Networks;15S;14/09/2015;13
EI7315;Broadband Communication Networks;15W;12/02/2016;161
EI7316;Channel Coding;15S;22/09/2015;10
EI7316;Channel Coding;15W;10/02/2016;80
EI7318;Computational Methods in Electromagnetics;15S;11/08/2015;1
EI7318;Computational Methods in Electromagnetics;15W;11/02/2016;15
EI7318;Computational Methods in Electromagnetics;15W;24/02/2016;3
EI7318;Computational Methods in Electromagnetics;15W;29/03/2016;1
EI7319;Computational Methods in Nanoelectronics;15W;15/02/2016;8
EI7320;Differential Navigation;15S;05/08/2015;12
EI7321;Dynamik elektrischer Maschinen;15S;16/07/2015;11
EI7322;Einführung in Computational Neuroscience;15S;14/07/2015;65
EI7323;Electronic Design Automation;15S;08/09/2015;6
EI7323;Electronic Design Automation;15W;19/02/2016;140
EI7324;Elektrische Aktoren und Sensoren in geregelten Antrieben;15S;23/09/2015;15
EI7324;Elektrische Aktoren und Sensoren in geregelten Antrieben;15W;22/02/2016;71
EI7325;Elektrische Felder in der Energietechnik;15S;05/02/2016;1
EI7325;Elektrische Felder in der Energietechnik;15W;05/02/2016;25
EI7326;Elektrische Maschinen;15S;16/09/2015;6
EI7326;Elektrische Maschinen;15W;24/02/2016;105
EI7327;Elektrische Straßenfahrzeuge;15S;04/08/2015;327
EI7327;Elektrische Straßenfahrzeuge;15W;11/03/2016;58
EI7329;Energieanwendungstechnik;15S;11/09/2015;24
EI7329;Energieanwendungstechnik;15W;23/02/2016;183
EI7330;Energieversorgung im liberalisierten Markt;15W;07/03/2016;35
EI7331;Entwicklung von Integrierten Schaltungen;15S;21/07/2015;100
EI7331;Entwicklung von Integrierten Schaltungen;15W;08/03/2016;6
EI7332;Entwurf elektrischer Maschinen;15S;07/08/2015;36
EI7332;Entwurf elektrischer Maschinen;15W;25/02/2016;6
EI7337;Hochspannungs-Isoliertechnik;15S;15/07/2015;20
EI7338;Hochspannungsprüf- und Messtechnik;15W;08/02/2016;5
EI7339;Hochspannungstechnik;15W;10/02/2016;70
EI7340;HW/SW Codesign;15S;29/07/2015;115
EI7340;HW/SW Codesign;15W;08/03/2016;6
EI7341;Image and Video Compression;15S;23/07/2015;64
EI7341;Image and Video Compression;15W;03/03/2016;3
EI7342;Inertial Navigation;15S;20/07/2015;17
EI7344;Informationstheoretische Grundlagen der Informationsforensik und biometrischen Sicherheit;15S;11/09/2015;8
EI7345;Informationstheoretische Sicherheit;15W;23/02/2016;29
EI7346;Leitungsgebundene Übertragungstechnik;15S;10/09/2015;9
EI7346;Leitungsgebundene Übertragungstechnik;15W;15/02/2016;48
EI7347;Magnetische Felder in der Energietechnik;15W;03/02/2016;22
EI7350;Microstructured Components for RF Engineering;15S;25/09/2015;2
EI7350;Microstructured Components for RF Engineering;15W;15/02/2016;4
EI7350;Microstructured Components for RF Engineering;15W;25/02/2016;13
EI7350;Microstructured Components for RF Engineering;15W;14/03/2016;7
EI7352;Multimedia Communications;15S;31/07/2015;31
EI7352;Multimedia Communications;15W;01/03/2016;1
EI7353;Multi-User Information Theory;15S;29/07/2015;9
EI7353;Multi-User Information Theory;15W;31/03/2016;1
EI7354;Nanophotonics;15W;11/02/2016;28
EI7355;Nanosystems;15W;09/12/2015;93
EI7356;Network Planning;15S;24/07/2015;29
EI7358;Pattern Recognition;15S;15/07/2015;96
EI7358;Pattern Recognition;15W;08/03/2016;3
EI7359;Praktikum Bioelektronische Messtechnik;15S;03/07/2015;9
EI7359;Praktikum Bioelektronische Messtechnik;15W;05/02/2016;10
EI7360;Praktikum Diagnostik und Schutztechnik in elektrischen Geräten und Anlagen;15S;23/07/2015;12
EI7362;Praktikum Energieerzeugungstechnik;15S;15/07/2015;26
EI7363;Praktikum Energiespeichertechnik;15W;08/02/2016;20
EI7365;Praktikum Hochspannungtechnik;15W;19/01/2016;9
EI7367;Praktikum Simulation digitaler Übertragungssysteme;15W;13/01/2016;12
EI7368;Praktikum Simulation und Optimierung von mechatronischen Systemen;15S;30/06/2015;21
EI7368;Praktikum Simulation und Optimierung von mechatronischen Antriebssystemen;15W;22/12/2015;26
EI7370;Precise Point Positioning with GPS and Galileo;15W;11/02/2016;16
EI7371;Projektpraktikum Entwurf analoger Schaltungen;15S;04/08/2015;5
EI7371;Projektpraktikum Entwurf analoger Schaltungen;15W;05/02/2016;3
EI7372;Projektpraktikum Bioelektronische Systeme;15S;15/05/2015;5
EI7372;Projektpraktikum Bioelektronische Systeme;15W;25/02/2016;3
EI7373;Projektpraktikum Mixed-Signal Electronics;15S;17/07/2015;5
EI7373;Projektpraktikum Mixed-Signal Electronics;15W;05/02/2016;1
EI7374;Projektpraktikum Nanobioelektronik;15S;22/06/2015;5
EI7374;Projektpraktikum Nanobioelektronik;15W;21/12/2015;11
EI7375;Quantum Nanoelectronics;15S;15/07/2015;18
EI7376;Radar Signals and Systems;15S;15/09/2015;9
EI7376;Radar Signals and Systems;15W;08/02/2016;53
EI7379;Satelliten-Mobilfunknetze;15S;22/07/2015;31
EI7379;Satelliten-Mobilfunknetze;15W;07/03/2016;3
EI7380;Simulation von elektrischen Energieversorgungsnetzen;15W;04/02/2016;23
EI7381;Synthesis of Digital Systems;15S;21/07/2015;30
EI7383;Systemidentifikation in der Mechatronik;15S;11/09/2015;2
EI7383;Systemidentifikation in der Mechatronik;15W;26/01/2016;28
EI7384;System-on-Chip Technologies;15S;21/09/2015;14
EI7384;System-on-Chip Technologies;15W;18/02/2016;205
EI7385;Systemtheorie der Sinnesorgane;15S;09/09/2015;1
EI7385;Systemtheorie der Sinnesorgane;15W;18/02/2016;29
EI7387;Technische Akustik und Lärmbekämpfung;15S;05/08/2015;3
EI7387;Technische Akustik und Lärmbekämpfung;15W;25/02/2016;37
EI7388;Technologie der III-V-Halbleiterbauelemente;15W;26/02/2016;13
EI7389;Technologie elektrischer Maschinen;15S;16/07/2015;3
EI7389;Technologie elektrischer Maschinen;15W;03/02/2016;36
EI7390;Umwandlung elektrischer Energie mit Leistungselektronik;15S;31/08/2015;9
EI7390;Umwandlung elektrischer Energie mit Leistungselektronik;15W;16/02/2016;100
EI7392;Projektpraktikum Entwurf von Mikrowellensystemen;15S;18/06/2015;2
EI7396;Psychoakustik und audiologische Anwendungen;15S;25/09/2015;2
EI7396;Psychoakustik und audiologische Anwendungen;15W;12/02/2016;41
EI7397;Entwurf mikrostrukturierter Bauelemente - Techniken des Erfindens;15W;17/03/2016;15
EI7398;Technologiepraktikum Mikrosystemtechnik;15S;23/04/2015;5
EI7398;Technologiepraktikum Mikrosystemtechnik;15S;14/10/2015;4
EI7398;Technologiepraktikum Mikrosystemtechnik;15W;15/03/2016;11
EI7399;Modellierung mikrostrukturierter Bauelemente und Systeme 1;15S;23/07/2015;8
EI7399;Modellierung mikrostrukturierter Bauelemente und Systeme 1;15W;10/02/2016;16
EI7400;Modellierung mikrostrukturierter Bauelemente und Systeme 2;15S;23/07/2015;9
EI7400;Modellierung mikrostrukturierter Bauelemente und Systeme 2;15W;11/04/2016;1
EI7401;Plasmaverfahren in der Mikrosystemtechnik;15S;24/07/2015;4
EI7402;SystemC Laboratory;15S;16/07/2015;52
EI7402;SystemC Laboratory;15W;03/02/2016;19
EI7403;VHDL System Design Laboratory;15S;17/07/2015;71
EI7403;VHDL System Design Laboratory;15W;05/02/2016;89
EI7404;Optimization Methods for Circuit Design;15W;17/02/2016;22
EI7406;Praktikum Geregelte elektrische Aktoren;15S;01/04/2015;32
EI7407;Künstliche Intelligenz in der Robotik;15S;13/07/2015;43
EI7408;Multi-Sensory Based Robot Dynamic Manipulation;15W;02/03/2016;7
EI7409;Adaptive and Predictive Control;15S;29/07/2015;76
EI7409;Adaptive and Predictive Control;15W;10/03/2016;2
EI7410;Antriebsregelung für Elektrofahrzeuge;15S;04/09/2015;85
EI7410;Antriebsregelung für Elektrofahrzeuge;15W;25/02/2016;8
EI7411;Channel Codes for Iterative Decoding;15S;28/07/2015;7
EI7412;Coded Modulation;15S;30/07/2015;23
EI7412;Coded Modulation;15W;18/02/2016;1
EI7413;Project Laboratory Human Centered Robotics;15S;10/07/2015;1
EI7413;Project Laboratory Human Centered Robotics;15W;25/01/2016;4
EI7414;Advanced Electronic Devices;15S;20/07/2015;20
EI7416;Praktikum Hochfrequenzschaltungen;15S;16/07/2015;13
EI7416;Praktikum Hochfrequenzschaltungen;15W;11/02/2016;11
EI7417;Project Course Drive Systems and Power Electronics;15S;30/04/2015;4
EI7417;Project Course Drive Systems and Power Electronics;15S;30/09/2015;4
EI7417;Project Course Drive Systems and Power Electronics;15W;15/03/2016;2
EI7418;Computer Vision;15S;28/07/2015;99
EI7418;Computer Vision;15W;19/02/2016;3
EI7419;Machine Learning in Robotics;15S;23/07/2015;112
EI7419;Machine Learning in Robotics;15W;02/03/2016;1
EI7420;Digital Signal Processing Lab;15S;22/07/2015;8
EI7420;Digital Signal Processing Lab;15W;12/02/2016;6
EI7421;Filter Banks for Communications;15S;29/07/2015;11
EI7422;Advanced Signal Processing and Communications;15S;04/08/2015;12
EI7422;Advanced Signal Processing and Communications;15W;25/02/2016;1
EI7423;Numerical Linear Algebra for Signal Processing;15S;24/07/2015;30
EI7423;Numerical Linear Algebra for Signal Processing;15W;18/02/2016;3
EI7424;Praktikum Finite Elemente für elektromechanischen Aktoren;15S;08/09/2015;12
EI7425;Praktikum Photonik;15S;01/09/2015;22
EI7426;Wireless Communications Laboratory;15S;17/06/2015;14
EI7426;Wireless Communications Laboratory;15S;28/07/2015;1
EI7427;Low-Power System Design;15W;22/01/2016;19
EI7427;Low-Power System Design;15W;22/01/2016;0
EI7428;Visual Navigation;15S;22/09/2015;2
EI7428;Visual Navigation;15W;24/02/2016;56
EI7429;Projektpraktikum Verstärkerschaltungen zur Messung bio-elektrischer Signale;15W;04/02/2016;4
EI7431;Information Theory;15S;17/09/2015;10
EI7431;Information Theory;15W;16/02/2016;128
EI7432;System Aspects in Communications;15S;11/09/2015;4
EI7432;System Aspects in Communications;15W;22/02/2016;37
EI7433;Adaptive and Array Signal Processing;15S;22/09/2015;2
EI7433;Adaptive and Array Signal Processing;15W;17/02/2016;49
EI7434;Mixed Signal Electronics;15S;10/09/2015;8
EI7434;Mixed Signal Electronics;15W;08/02/2016;104
EI7435;Optimization in Communications Engineering;15W;09/02/2016;19
EI7436;MIMO Systems;15W;11/02/2016;19
EI7437;Technik autonomer Systeme;15W;04/02/2016;36
EI7438;Modellbildung und Regelung humanoider Laufroboter;15W;22/02/2016;14
EI7439;Timing of Digital Circuits;15W;01/02/2016;34
EI7440;Circuit Theory and Communications;15S;01/10/2015;1
EI7440;Circuit Theory and Communications;15W;18/01/2016;1
EI7440;Circuit Theory and Communications;15W;30/03/2016;33
EI7441;Projektpraktikum Multicopter: Kollaboratives Entwickeln von Eingebetteten Systemen;15S;07/08/2015;13
EI7441;Projektpraktikum Multicopter: Kollaboratives Entwickeln von Eingebetteten Systemen;15W;29/02/2016;7
EI7442;Praktikum Schaltungsentwicklung für Batteriesysteme;15W;30/03/2016;10
EI7443;Angewandte Funktionalanalysis;15S;25/08/2015;5
EI7444;Interpolation und Abtastung in Räumen analytischer Funktionen;15S;13/08/2015;5
EI7445;Algebraische Struktur in der Mehrnutzer-Informationstheorie;15S;04/08/2015;2
EI7446;Projektpraktikum Biosignalverarbeitung und Modellierung;15S;24/07/2015;4
EI7447;Humanoides kognitives Schlussfolgern;15S;24/07/2015;3
EI7448;Modellierung von Energiesystemen;15S;05/08/2015;73
EI7448;Modellierung von Energiesystemen;15W;22/03/2016;6
EI7449;Praktikum Physikochemische Modellbildung an Lithium-Ionen-Zellen;15S;11/09/2015;11
EI7449;Praktikum Physikochemische Modellbildung an Lithium-Ionen-Zellen;15W;02/03/2016;8
EI7450;Analysis, Modeling and Simulation of Communication Networks;15S;24/07/2015;11
EI7451;Faseroptische Sensoren und ihre Anwendungen;15S;31/07/2015;22
EI7452;Seminar Advanced Topics in Molecular Electronics;15S;01/06/2015;4
EI7452;Seminar Advanced Topics in Molecular Electronics;15W;21/12/2015;2
EI7453;Praktikum Simulation elektrischer Energieversorgungsnetze;15S;07/07/2015;15
EI7454;Formal Synthesis of Embedded Systems;15S;21/07/2015;11
EI7456;High-Level Design Laboratory;15S;15/07/2015;12
EI7458;Hochfrequenzkomponenten, Verstärker und Oszillatoren;15S;10/08/2015;39
EI7458;Hochfrequenzkomponenten, Verstärker und Oszillatoren;15W;30/03/2016;6
EI7459;Signal Processing for Audio Technology;15S;23/07/2015;21
EI7461;Coding Theory and Combinatorics;15W;04/03/2016;7
EI7462;Angewandte Funktionalanalysis für adaptive Systeme;15W;07/04/2016;3
EI7463;Advanced Topics in Information Theoretic Security;15W;05/04/2016;5
EI7464;Cyber-Physical Systems: Theory and Practice with Small Unmanned Aircraft;15W;26/02/2016;8
EI7465;Environmental Sensing and Modeling;15W;23/03/2016;4
EI7466;Ringvorlesung Erneuerbare Energiesysteme in Entwicklungsländern;15W;23/02/2016;87
EI7467;Interdisziplinäres Projektpraktikum Konzeptentwicklung eines Erneuerbaren Energiesystems in einem Entwicklungsland;15W;19/01/2016;13
EI7468;Mathematische Methoden zur Ausbau- und Einsatzplanung in modernen Energiesystemen;15W;09/02/2016;13
EI7470;Projektpraktikum Energy Harvester;15W;16/03/2016;9
EI7471;Netzintegration erneuerbarer Energien;15W;01/02/2016;74
EI7472;Praktikum Energieübertragung;15W;18/01/2016;12
EI7473;BioMEMS and Microfluidics ;15W;27/01/2016;8
EI7474;Biosensors and Bioelectronics;15W;18/03/2016;3
EI7474;Biosensors and Bioelectronics;15W;31/03/2016;1
EI7476;Advanced Electromagnetics;15W;05/02/2016;5
EI7476;Advanced Electromagnetics;15W;22/03/2016;4
EI7477;Energy Harvesting;15W;03/02/2016;6
EI7500;Bahnsysteme und ihr wirtschaftlicher Betrieb;15S;10/07/2015;147
EI7500;Bahnsysteme und ihr wirtschaftlicher Betrieb;15W;17/03/2016;23
EI7502;Praktikum Isolierwerkstoffe;15S;15/10/2015;6
EI7505;Projektpraktikum Matlab;15S;29/06/2015;40
EI7505;Projektpraktikum Matlab;15W;14/12/2015;38
EI7513;Umweltmanagement - Ökoauditierung;15S;23/07/2015;129
EI7513;Umweltmanagement - Ökoauditierung;15W;11/02/2016;10
EI7514;Einführung in die Lichttechnik;15S;04/09/2015;19
EI7514;Einführung in die Lichttechnik;15W;05/02/2016;152
EI7516;Planung von Beleuchtungsanlagen;15S;31/07/2015;134
EI7516;Planung von Beleuchtungsanlagen;15W;05/02/2016;18
EI7518;Elektrische Bahnen;15S;09/09/2015;2
EI7518;Elektrische Bahnen;15W;04/02/2016;20
EI7521;Musikalische Akustik;15S;08/07/2015;61
EI7521;Musikalische Akustik;15W;12/02/2016;1
EI7523;Analoge Bipolartechnik: Bauelemente, Simulation und Schaltungen;15S;01/09/2015;1
EI7523;Analoge Bipolartechnik: Bauelemente, Simulation und Schaltungen;15W;28/01/2016;12
EI7539;System Engineering for Life Cell Monitoring;15S;30/06/2015;8
EI7539;System Engineering for Life Cell Monitoring;15W;27/01/2016;1
EI7548;Praxis der Systemintegration;15W;04/02/2016;8
EI7566;Methoden zur Analyse und Regelung von Smart Grids;15S;03/09/2015;2
EI7566;Methoden zur Analyse und Regelung von Smart Grids;15W;05/02/2016;35
EI7567;Selected Topics in System Security;15S;09/09/2015;2
EI7567;Selected Topics in System Security;15W;29/01/2016;35
EI7579;Analoge und digitale Hochfrequenzkomponenten;15S;29/07/2015;18
EI7579;Analoge und digitale Hochfrequenzkomponenten;15W;01/03/2016;2
EI7581;Inside my iPhone - Technology Analysis of a Smart Phone;15S;16/07/2015;7
EI7581;Inside my iPhone - Technology Analysis of a Smart Phone;15W;04/02/2016;8
EI7584;Multirate Signal Processing;15W;04/02/2016;16
EI7585;Clinical Applications of Computational Medicine;15S;14/08/2015;3
EI7585;Clinical Applications of Computational Medicine;15W;11/03/2016;5
EI7586;Praktikum Entwicklung eines Medizingerätes;15S;02/10/2015;5
EI7587;Analog Integrated Circuits for Mobile Communication and Power Management;15S;30/07/2015;38
EI7587;Analog Integrated Circuits for Mobile Communication and Power Management;15W;09/03/2016;3
EI7600;Advanced Topics in IC Design;15S;20/07/2015;51
EI7600;Advanced Topics in IC Design;15W;15/02/2016;3
EI7601;Advanced Topics in Signal Processing;15S;10/07/2015;6
EI7602;Ausgewählte Kapitel aus der Medizinischen Elektronik;15S;30/07/2015;4
EI7602;Ausgewählte Kapitel aus der Medizinischen Elektronik;15W;22/01/2016;11
EI7604;Elektrische Messmethoden in der Umwelttechnik;15S;18/09/2015;1
EI7604;Elektrische Messmethoden in der Umwelttechnik;15W;22/01/2016;77
EI7605;Gassensorik für biomedizinische Anwendungen;15S;14/07/2015;34
EI7606;Gestaltung ergonomischer Benutzungsoberflächen;15S;13/07/2015;56
EI7607;Integrierte Systeme für den Mobilfunk;15S;23/07/2015;25
EI7608;Mikroelektronische therapeutische Implantate;15S;19/05/2015;1
EI7608;Mikroelektronische therapeutische Implantate;15W;04/02/2016;34
EI7610;Non-Identifier Based Adaptive Control in Mechatronics;15S;31/07/2015;32
EI7610;Non-Identifier Based Adaptive Control in Mechatronics;15W;26/02/2016;4
EI7611;Optical Systems for Cell Biological Analytics;15S;18/06/2015;3
EI7611;Optical Systems for Cell Biological Analytics;15W;10/12/2015;3
EI7612;Praktikum Telemedizin - Telematische Medizin;15S;01/04/2015;2
EI7612;Praktikum Telemedizin - Telematische Medizin;15W;22/03/2016;13
EI7613;Projektpraktikum Biohybride Mikrosensoren;15W;25/02/2016;1
EI7614;Projektpraktikum Elektrochemische Sensorik in Biologie und Medizin;15S;30/09/2015;1
EI7617;Regenerative Energiesysteme;15S;15/09/2015;5
EI7617;Regenerative Energiesysteme;15W;18/02/2016;112
EI7619;Simulation of Quantum Devices;15S;31/07/2015;10
EI7620;Terrestrial Navigation;15W;04/03/2016;8
EI7621;Topics in Multimedia Signal Processing;15S;11/09/2015;35
EI7622;Zulassungsverfahren und Qualitätsmanagement in der Medizintechnik;15W;20/01/2016;11
EI7623;Fortgeschrittene Konzepte der Wahrnehmung für Robotersysteme;15S;21/09/2015;2
EI7623;Fortgeschrittene Konzepte der Wahrnehmung für Robotersysteme;15W;08/02/2016;44
EI7624;Techno-Economic Analysis of Telecommunication Networks;15S;02/10/2015;2
EI7624;Techno-Economic Analysis of Telecommunication Networks;15W;05/02/2016;28
EI7625;Ausgewählte Kapitel aus der Audio-Informationsverarbeitung;15S;05/08/2015;1
EI7625;Ausgewählte Kapitel aus der Audio-Informationsverarbeitung;15W;03/02/2016;1
EI7626;Halbleiter Ober- und Grenzflächen;15W;09/02/2016;16
EI7627;Elektronische Anzeigeelemente und flache Bildschirme;15S;17/07/2015;42
EI7627;Elektronische Anzeigeelemente und flache Bildschirme;15W;13/01/2016;2
EI7629;Organische Elektronik - Materialien und Anwendungen;15W;17/12/2015;18
EI7633;Optical Networks;15S;17/07/2015;13
EI7635;Engineering Management;15S;04/08/2015;1
EI7635;Engineering Management;15W;12/02/2016;44
EI7635;Engineering Management;15W;31/03/2016;2
EI7636;Praktikum Herstellung und Charakterisierung von Laser-Dioden;15S;21/08/2015;1
EI7637;Data Analysis for Computer Engineering;15S;22/07/2015;14
EI7638;Compressive Sampling;15S;02/06/2015;4
EI7640;Signals and Array Signal Processing for Global Navigation Satellite Systems;15W;04/02/2016;13
EI7641;Applied Reinforcement Learning;15S;23/07/2015;12
EI7642;Digitale Rundfunktechnik;15S;16/07/2015;7
EI7643;Netzintegration stationärer elektrischer Energiespeicher;15S;14/07/2015;94
EI7643;Netzintegration stationärer elektrischer Energiespeicher;15W;08/03/2016;2
EI7644;Communication Network Reliability;15S;15/07/2015;19
EI7645;Projektpraktikum Entwurf, Test und Messung von Kommunikationssystemen;15S;20/07/2015;1
EI7645;Projektpraktikum Entwurf, Test und Messung von Kommunikationssystemen;15W;01/02/2016;5
EI7646;Computational Neuroscience: Eine Ringvorlesung von Modellen bis zu Anwendungen;15S;21/07/2015;28
EI7646;Computational Neuroscience: Eine Ringvorlesung von Modellen bis zu Anwendungen;15W;10/02/2016;22
EI7647;Quantenkommunikation;15S;08/10/2015;2
EI7647;Quanteninformationstheorie;15W;06/04/2016;1
EI7648;Raumfahrtelektronik für Sensorsysteme;15S;17/07/2015;26
EI7648;Raumfahrtelektronik für Sensorsysteme;15W;05/02/2016;13
EI7649;Approximate Dynamic Programming and Reinforcement Learning;15W;02/02/2016;10
EI7700;Hauptseminar Energiewandlungstechnik;15S;27/05/2015;1
EI7701;Hauptseminar Hochspannungs- und Energieübertragungstechnik;15S;13/07/2015;1
EI7704;Hauptseminar Multimediale Informationsverarbeitung;15S;04/08/2015;1
EI7707;Seminar Kommunikationsnetze;15W;25/01/2016;1
EI7708;Hauptseminar Medientechnik;15S;08/07/2015;2
EI7709;Hauptseminar Digitale Kommunikationssysteme;15S;25/06/2015;2
EI7710;Hauptseminar Mensch-Maschine-Kommunikation;15S;23/06/2015;1
EI7712;Hauptseminar VLSI-Entwurfsverfahren;15S;03/07/2015;1
EI7712;Hauptseminar VLSI-Entwurfsverfahren;15W;15/01/2016;1
EI7713;Hauptseminar Hochfrequenztechnik;15W;02/02/2016;1
EI7714;Hauptseminar Nanoelektronik;15S;02/09/2015;1
EI7716;Hauptseminar Integrierte Systeme;15S;24/06/2015;1
EI7717;Hauptseminar Medizinische Elektronik;15S;09/07/2015;3
EI7717;Hauptseminar Medizinische Elektronik;15S;09/07/2015;1
EI7717;Hauptseminar Medizinische Elektronik;15W;10/03/2016;3
EI7721;Hauptseminar Optoelektronik;15S;11/09/2015;1
EI7723;Hauptseminar Messsystem- und Sensortechnik;15S;20/09/2015;3
EI7723;Hauptseminar Messsystem- und Sensortechnik;15S;21/09/2015;1
EI7723;Hauptseminar Messsystem- und Sensortechnik;15W;15/03/2016;1
EI7725;Hauptseminar Kognitive Robotik und Regelung;15S;06/07/2015;1
EI7727;Hauptseminar Sicherheit in der Informationstechnik;15S;03/07/2015;1
EI7728;Hauptseminar Elektrische Energieversorgungsnetze;15W;10/12/2015;1
EI7729;Hauptseminar Mikrostrukturierte Komponenten und Systeme;15S;30/09/2015;1
EI7730;Hauptseminar Vernetzte Systeme und Regelung;15S;03/07/2015;1
EI7733;Hauptseminar Technische Elektronik;15S;17/07/2015;1
EI7733;Hauptseminar Technische Elektronik;15W;05/02/2016;1
EI7736;Seminar Höchstfrequenztechnik;15W;28/01/2015;3
EI7736;Seminar Höchstfrequenztechnik;15S;09/07/2015;2
EI7737;Seminar Energiewandlungstechnik;15S;30/07/2014;5
EI7737;Seminar Energiewandlungstechnik;15W;18/12/2015;8
EI7738;Seminar Intelligente Verfahren in der Mechatronik;15S;23/03/2015;5
EI7738;Hauptseminar Intelligente Verfahren in der Mechatronik;15S;28/05/2015;1
EI7738;Seminar Intelligente Verfahren in der Mechatronik;15S;15/09/2015;1
EI7738;Seminar Intelligente Verfahren in der Mechatronik;15S;30/09/2015;2
EI7738;Seminar Intelligente Verfahren in der Mechatronik;15W;24/11/2015;20
EI7739;Seminar Rechnergestützte Modellierung in der Energietechnik;15S;11/08/2015;4
EI7739;Seminar Rechnergestützte Modellierung in der Energietechnik;15W;29/02/2016;5
EI7740;Seminar Elektrische Energieversorgungsnetze;15S;03/07/2015;8
EI7740;Seminar Elektrische Energieversorgungsnetze;15W;10/12/2015;8
EI7742;Hauptseminar Realzeit-Computersysteme;15S;10/07/2015;5
EI7742;Seminar Realzeit-Computersysteme;15W;22/01/2016;5
EI7743;Hauptseminar Kommunikationsnetze;15S;06/07/2015;7
EI7743;Seminar Kommunikationsnetze;15W;25/01/2016;6
EI7744;Hauptseminar Medientechnik;15S;08/07/2015;7
EI7744;Seminar Medientechnik;15W;20/01/2016;3
EI7745;Hauptseminar Mensch-Maschine-Kommunikation;15S;09/06/2015;4
EI7745;Seminar Mensch-Maschine-Kommunikation;15W;01/12/2015;8
EI7746;Hauptseminar Sicherheit in der Informationstechnik;15S;03/07/2015;6
EI7746;Seminar Sicherheit in der Informationstechnik;15W;15/01/2016;12
EI7747;Seminar Datenverarbeitung;15W;05/02/2016;11
EI7749;Internationales Hauptseminar Signalverarbeitung;15S;19/06/2015;8
EI7750;Seminar VLSI-Entwurfsverfahren;15S;03/07/2015;4
EI7750;Seminar VLSI-Entwurfsverfahren;15W;15/01/2016;7
EI7751;Hauptseminar Hochfrequenztechnik;15S;15/07/2015;10
EI7751;Seminar Hochfrequenztechnik;15W;02/02/2016;6
EI7752;Seminar Nanoelektronik;15S;02/09/2015;4
EI7752;Seminar Nanoelektronik;15W;09/03/2016;11
